Nama Produk,Harga,Jenis Penyedia,Lokasi,Vendor,Jumlah Terjual,Nilai TKDN (%),Lumen,Efikasi (lm/W),Voltase (V),Daya (Watt)
"LAMPU PENERANGAN JALAN UMUM BLUB 45WP, AC - FITTING E 40",446000.00,UMKK,"KOTA MEDAN, SUMATERA UTARA",VENESIA PRIMA PERKASA,587,53.54,,,240.00,45.00
HORMESS- 20W-AC,699099.00,UMKK,"KAB BEKASI, JAWA BARAT",ASA KARSA SEJAHTERA INSANI,772,59.77,,,,
PANASONIC NNP10843 Luminer Lengkap LED 10W Neo,519370.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",KARYA PUTRA ANDALAN,560,41.08,1200.00,60.00,,10.00
PEKERJAAN PEMASANGAN KAP LAMPU CAPING 20 WATT (METERISASI),256862.00,UMKK,"KAB. MAGELANG, JAWA TENGAH",MANDEGANI,243,98.05,,,,
BANDELL S09 RUSH90,3725000.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,3597,64.90,,,,
HIGH LUMENS LED BULB 50W,236487.00,UMKK,"KOTA MALANG, JAWA TIMUR",BULIRPADI LINTAS NUSANTARA,203,30.73,,,,
PANASONIC NNP10845 Luminer Lengkap LED 30W Neo,889730.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",KARYA PUTRA ANDALAN,825,42.15,3600.00,120.00,,
Stang Ornamen 2 Meter Lengkap Klem Galvanized,510000.00,UMKK,"KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",HELORI GRAHASARANA,430,68.71,,,,
LED STREET LIGHT HLS-LDL-8D-30W,797297.00,UMKK,"KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",METRO ANDAL PERSADA,660,31.41,,,240.00,
Pengadaan dan Pemasangan Kabel DX/LVTC Ukuran 2 x 10 Sqmm,11480.00,UMKK,"KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",RELLIS MULTI ENERGI,0,96.79,,,,
UBLIX LED STREET LIGHT 40 WATT - HALIMUN TYPE,2673048.00,UMKK,"KOTA BOGOR, JAWA BARAT",NATTA FAZA INTERNASIONAL,1730,40.34,,,,
LED Swabalast HLS-MR3 65W,660000.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",ABDUL ROCHIM,445,30.47,,,265.00,65.00
BANDELL S09 RUSH60,3272073.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,1961,65.30,,,,
